match_id	home_total_shots	home_shots_off_target	home_shots_saved	home_corners	home_free_kicks	home_offsides	home_fouls	away_total_shots	away_shots_off_target	away_shots_saved	away_corners	away_free_kicks	away_offsides	away_fouls	home_cards	away_cards
3050176	4	5	3	3	10	7	2	5	1	2	6	9	7	3	0	3
3050173	2	8	4	3	12	11	1	6	6	1	5	12	12	0	2	2
3050175	5	7	1	8	19	13	0	1	6	2	2	13	16	3	2	2
3050171	8	4	2	5	12	14	5	2	2	4	4	19	9	3	1	2
3050170	2	4	1	2	9	8	2	4	2	2	5	10	8	1	2	1
3050172	6	1	3	2	9	11	4	4	4	4	5	15	7	2	2	1
3050174	3	7	6	8	15	12	2	6	5	3	5	14	11	4	0	1
3050167	3	5	7	2	15	11	7	9	4	3	9	18	13	2	2	2
3050168	3	6	1	7	10	12	0	1	3	0	4	12	8	2	1	1
3050169	6	3	7	5	14	8	2	9	0	6	5	10	11	3	1	2
3050179	1	7	6	5	16	13	2	5	1	1	5	15	16	0	2	4
3050183	2	2	2	1	8	10	0	2	8	1	9	10	7	1	4	1
3050185	12	9	2	5	8	9	1	3	6	9	2	10	5	3	0	0
3050182	6	1	2	2	23	7	2	3	5	4	5	9	21	2	0	5
3050180	11	6	5	5	11	12	3	7	6	8	1	15	8	3	0	2
3050184	14	10	0	10	5	9	1	1	3	9	3	10	4	1	0	2
3050186	4	4	4	6	9	15	1	6	5	4	4	16	9	0	6	2
3050181	3	5	4	6	15	5	2	6	4	3	7	7	13	2	3	1
3050177	3	3	1	3	14	15	2	3	5	0	5	17	12	2	1	1
3050178	3	4	3	5	22	9	2	6	1	2	2	11	18	4	1	2
3050190	1	2	4	7	7	8	1	4	7	1	7	9	7	0	2	1
3050196	2	6	4	5	11	14	4	6	6	1	9	18	8	3	1	2
3050187	10	2	4	7	16	16	3	5	5	8	2	19	13	3	1	3
3050188	5	10	1	6	10	12	5	3	6	3	2	17	10	0	2	5
3050194	5	4	3	10	10	14	1	5	3	4	3	15	10	0	2	1
3050191	8	6	2	8	15	8	1	2	2	6	5	9	12	3	1	1
3050195	5	4	2	6	14	14	1	3	5	3	3	15	11	3	4	2
3050189	12	10	0	6	12	10	1	2	4	8	4	11	7	5	2	1
3050192	5	11	3	5	18	11	2	6	2	5	2	13	17	1	2	3
3050193	2	2	2	4	10	15	2	3	7	1	5	17	8	2	3	1
3050203	5	3	2	4	14	9	3	4	4	4	4	12	12	2	3	2
3050197	4	5	3	7	18	12	2	5	3	2	1	14	14	4	3	3
3050201	6	7	3	7	13	10	0	5	6	6	4	10	12	1	1	1
3050200	6	7	1	7	7	10	2	1	6	4	6	12	6	1	2	2
3050202	1	7	4	4	14	11	1	5	1	0	3	12	14	0	3	3
3050206	3	5	5	4	10	10	1	6	7	3	4	11	10	0	2	1
3050204	8	10	1	4	15	4	2	2	1	6	0	6	14	1	0	0
3050199	3	8	8	3	14	12	3	11	4	1	9	15	13	1	3	4
3050198	4	5	9	2	13	7	1	11	7	4	5	8	12	1	2	5
3050205	3	2	2	3	10	9	2	2	7	1	10	11	8	2	2	1
3050214	3	5	8	5	16	18	3	10	5	2	4	21	14	2	0	0
3050208	7	8	1	5	9	9	0	2	4	3	4	9	9	0	0	0
3050207	5	2	5	4	20	9	1	8	4	1	6	10	17	3	3	3
3050211	9	9	3	10	10	6	5	3	5	6	4	11	8	2	0	0
3050212	3	0	0	10	13	12	3	2	5	2	4	15	12	1	0	0
3050210	1	8	1	5	15	11	5	2	2	1	3	16	13	2	1	2
3050216	6	12	2	8	10	10	1	2	5	4	2	11	9	1	2	4
3050215	5	3	4	6	16	10	2	6	1	4	8	12	12	4	2	2
3050209	4	6	1	4	12	15	3	4	2	3	2	18	12	0	2	5
3050213	4	6	2	1	15	9	2	4	5	2	4	11	13	2	2	3
3050219	5	4	6	3	8	17	1	6	5	1	8	18	6	2	2	0
3050222	3	6	5	8	16	11	5	6	4	2	8	16	10	6	2	1
3050220	2	1	5	1	6	6	2	10	4	2	9	8	5	1	1	1
3050221	4	7	3	9	12	9	2	3	3	4	5	11	11	1	1	1
3050224	4	5	1	5	11	7	4	1	1	1	4	11	10	1	0	2
3050223	8	6	1	3	14	8	1	2	4	5	1	9	14	0	2	1
3050217	5	1	6	5	15	17	1	6	2	3	9	18	13	2	2	1
3050218	5	3	5	5	9	14	2	7	5	4	7	16	9	0	2	1
3050226	1	4	7	1	12	11	2	7	6	1	8	13	9	3	2	1
3050225	6	4	7	5	19	6	3	8	3	5	4	9	17	2	1	1
3050235	3	4	3	4	15	12	2	4	2	1	9	14	11	4	0	1
3050227	2	6	5	6	20	11	1	4	8	1	6	12	17	3	2	2
3050231	6	6	0	12	14	12	6	0	6	3	1	18	14	0	0	3
3050232	5	3	4	3	17	16	1	6	4	5	0	17	16	1	2	2
3050236	6	5	6	8	8	12	0	6	4	4	6	12	6	2	3	1
3050233	8	12	1	10	12	5	0	1	1	6	3	5	10	2	0	3
3050234	2	2	3	5	5	11	1	5	3	2	9	12	5	0	0	0
3050230	4	4	3	4	11	7	2	6	6	3	4	9	9	2	0	2
3050229	4	7	0	10	16	12	2	2	1	3	2	14	15	1	1	3
3050237	5	4	3	2	9	12	5	3	6	4	9	17	8	1	3	2
3050241	2	5	6	2	11	10	5	8	3	1	10	15	11	0	3	1
3050245	6	5	3	6	14	7	0	3	3	5	2	7	11	3	3	3
3050246	2	2	3	10	13	10	0	7	3	2	7	10	11	2	4	1
3050228	5	4	1	3	13	8	2	2	4	3	3	10	11	2	3	4
3050238	3	1	2	1	9	6	3	3	7	2	10	9	9	0	2	2
3050239	5	4	1	6	14	11	1	2	5	5	3	12	13	1	3	4
3050240	4	8	2	4	13	11	4	7	2	3	2	15	12	1	2	0
3050243	11	4	6	10	9	16	1	8	3	8	6	17	9	0	2	2
3050244	6	6	3	4	11	13	0	6	3	6	12	13	11	0	6	0
3050242	2	2	2	2	15	9	2	2	2	2	6	11	10	5	1	3
3050249	5	10	2	4	16	14	0	4	3	1	4	14	16	0	3	3
3050248	2	5	4	6	18	13	1	4	2	2	4	14	14	4	1	2
3050250	6	7	2	5	18	9	2	4	2	4	3	11	17	1	2	5
3050254	5	15	1	10	12	14	1	2	4	5	2	15	11	1	0	2
3050253	10	6	0	10	5	11	0	0	4	5	1	11	5	0	2	2
3050255	4	5	2	10	12	8	3	3	3	4	6	11	10	2	3	0
3050256	1	5	1	8	13	21	2	3	3	1	2	23	12	1	3	1
3050251	4	9	2	10	17	12	1	2	4	2	5	13	17	0	2	1
3050252	1	6	1	2	8	9	3	2	4	1	4	12	6	2	0	2
3050247	7	9	2	6	12	10	2	2	3	4	4	12	11	1	2	2
3050257	1	5	7	1	9	11	0	7	8	0	10	11	8	1	3	0
3050266	7	4	6	3	19	7	3	6	5	4	3	10	16	3	1	2
3050262	7	5	0	8	8	6	0	1	1	2	0	6	4	4	0	0
3050260	1	9	2	5	3	13	1	5	6	1	5	14	2	1	3	1
3050264	3	13	0	7	16	10	1	0	4	3	2	11	13	3	0	1
3050261	5	10	2	8	7	16	8	3	6	4	0	24	6	1	1	3
3050258	1	4	4	4	10	14	5	8	9	1	4	19	10	0	4	2
3050259	3	9	1	6	14	10	2	2	3	1	4	12	14	0	1	2
3050263	9	4	7	8	11	14	7	8	5	7	4	21	11	0	2	1
3050268	8	3	3	9	17	11	0	6	5	7	5	11	12	5	4	3
3050265	1	3	4	3	18	13	4	5	2	1	6	17	14	4	2	2
3050274	2	4	2	8	13	12	4	2	8	1	9	16	11	2	1	5
3050271	3	9	2	6	20	9	2	3	0	1	4	11	18	2	0	1
3050269	3	8	3	6	15	16	4	5	4	3	12	20	12	3	2	2
3050267	4	5	3	5	8	7	7	4	6	3	8	14	7	1	1	1
3050276	7	4	5	5	9	11	5	8	1	5	1	16	6	3	1	2
3050275	9	5	1	10	9	7	2	3	1	5	4	9	7	2	1	4
3050273	8	5	4	4	10	13	1	5	5	2	4	14	9	1	1	1
3050270	7	4	1	4	14	6	6	2	2	4	2	12	13	1	0	1
3050278	6	9	2	4	22	7	0	3	2	3	1	7	22	0	2	3
3050272	2	5	0	5	14	12	3	0	4	2	4	15	8	6	1	2
3050282	5	9	1	12	12	15	1	1	3	4	1	16	10	2	2	0
3050285	7	6	3	7	13	9	2	4	4	6	10	11	11	2	2	1
3050286	4	6	7	7	18	10	4	8	5	3	6	14	14	4	3	2
3050281	7	7	2	5	11	9	7	4	5	6	6	16	8	3	1	1
3050280	4	6	1	10	10	12	4	3	5	4	6	16	9	1	1	1
3050283	7	7	3	6	15	11	2	3	3	5	3	13	10	5	1	1
3050279	4	7	1	5	18	7	5	1	3	4	5	12	11	7	4	3
3050277	5	4	6	11	18	9	1	6	4	3	2	10	16	2	2	2
3050284	5	6	1	5	12	11	0	1	1	2	1	11	12	0	1	1
3050290	7	5	1	7	16	11	0	1	4	5	3	11	15	1	0	3
3050288	3	6	2	6	8	8	5	3	3	2	1	13	7	1	3	2
3050292	5	4	2	10	15	13	2	2	8	4	3	15	12	3	1	2
3050295	1	4	2	8	6	6	2	6	2	1	1	8	3	3	0	0
3050287	5	2	3	5	10	7	4	4	11	4	8	11	8	2	2	1
3050291	5	3	5	2	4	10	4	7	6	2	5	14	3	1	2	3
3050294	1	3	4	5	17	11	4	7	3	2	5	15	13	4	0	1
3050293	9	6	1	4	16	20	3	2	5	6	4	23	11	5	0	3
3050289	4	8	1	5	12	6	1	2	8	4	5	7	11	1	0	1
3050296	2	5	4	3	9	9	1	6	3	1	5	10	8	1	1	2
3050298	2	9	3	7	12	4	2	4	8	0	6	6	12	0	1	2
3050300	9	11	0	10	12	10	1	1	2	7	2	11	10	2	1	1
3050301	2	2	4	2	17	8	1	6	3	1	6	9	13	4	2	2
3050302	3	3	0	4	6	7	1	0	5	1	8	8	5	1	2	3
3050304	6	4	0	8	6	9	2	1	2	3	4	11	3	3	0	0
3050306	6	6	3	3	15	12	0	5	4	4	5	12	13	2	4	4
3050299	9	1	4	4	18	8	0	4	5	7	6	8	17	1	2	1
3050297	7	11	4	8	17	14	5	6	3	2	5	19	15	2	3	4
3050308	3	2	4	4	10	12	0	5	6	0	5	12	10	0	4	3
3050303	4	9	3	8	10	12	1	3	4	3	1	13	7	3	3	2
3050305	5	5	1	7	13	10	3	4	3	5	3	13	10	3	3	3
3050307	2	4	5	4	13	10	3	6	9	0	8	13	13	0	4	2
3050312	12	3	1	10	17	9	2	3	3	8	4	11	12	5	1	2
3050310	6	9	4	10	8	10	2	5	4	5	8	12	6	2	0	0
3050309	6	4	7	5	7	12	6	12	1	4	9	18	4	3	1	0
3050311	7	2	5	3	15	4	4	7	6	6	11	8	8	7	0	1
3050313	2	3	2	1	10	16	2	3	10	0	5	18	10	0	4	4
3050315	4	8	3	14	19	6	0	5	3	8	2	6	17	2	0	5
3050317	2	8	1	7	20	13	2	1	5	1	1	15	20	0	5	4
3050316	8	3	4	8	7	8	4	5	7	5	6	12	5	2	0	0
3050319	4	4	0	2	13	11	2	1	12	3	7	13	12	1	2	0
3050318	2	3	1	6	13	9	3	4	4	2	6	12	11	2	2	1
3056407	7	0	3	4	15	15	2	5	2	5	4	17	12	3	3	3
3050320	4	8	1	7	11	9	4	2	6	3	7	13	11	0	2	2
3050326	6	4	3	5	8	11	2	5	2	3	3	13	8	0	1	2
3050324	11	6	2	10	18	9	4	4	4	8	3	13	15	3	1	2
3050321	5	1	4	1	13	12	1	4	6	3	13	13	11	2	2	0
3050323	3	5	1	6	8	12	3	2	4	3	5	15	7	1	3	1
3050325	4	4	4	4	19	9	0	7	4	3	6	9	17	2	4	5
3050330	5	6	3	10	13	6	2	5	2	3	1	8	12	1	1	1
3050334	4	6	0	8	6	6	2	0	1	3	3	8	5	1	0	2
3050328	1	5	2	4	14	9	6	2	7	0	4	15	11	3	2	1
3050322	4	4	2	6	16	13	4	4	7	2	6	17	12	4	1	1
3050332	5	4	1	6	11	7	3	2	5	2	2	10	9	2	1	2
3050335	8	6	1	5	6	7	2	3	4	5	0	9	5	1	0	0
3050329	4	9	1	6	12	14	6	3	2	4	4	20	10	2	2	1
3050336	4	2	3	5	7	17	4	3	5	2	3	21	7	0	1	2
3050327	2	3	3	4	10	15	5	3	4	1	1	20	6	4	2	2
