Season,Club,Squad,Average age,Foreigners,Total market value
14/15,Chelsea FC,38,25.4,28,0.3585917794593058
14/15,Manchester United,43,25.4,26,0.3217521048705105
14/15,Manchester City,34,27.1,27,0.28114675476926354
14/15,Arsenal FC,42,24.5,29,0.25734484351131476
14/15,Liverpool FC,35,24.8,21,0.19347046076237168
14/15,Tottenham Hotspur,42,25.2,25,0.1787630111194003
14/15,Southampton FC,37,25.1,20,0.11204660911577674
14/15,Everton FC,40,25.7,22,0.09257877722121566
14/15,Newcastle United,42,24.4,28,0.062133645955451344
14/15,West Ham United,36,26.2,21,0.059220576219403895
14/15,Swansea City,36,25.8,26,0.055561476429002804
14/15,Hull City,35,27.5,25,0.04586308572240577
14/15,Aston Villa,38,25.9,20,0.043838147003445946
14/15,Queens Park Rangers,41,26.6,25,0.042417137376105724
14/15,Stoke City,30,28.0,23,0.04117375395218302
14/15,Crystal Palace,42,27.6,26,0.031759565171054036
14/15,West Bromwich Albion,34,27.0,23,0.03083590891328289
14/15,Sunderland AFC,34,26.3,20,0.027318910085615836
14/15,Leicester City,37,27.4,19,0.010053643113432098
14/15,Burnley FC,30,27.0,13,0.0
15/16,Chelsea FC,40,25.2,31,0.3559273864080429
15/16,Manchester City,38,25.9,27,0.3174535507478063
15/16,Arsenal FC,41,25.2,29,0.2879676009804966
15/16,Manchester United,44,24.1,27,0.27517851433443463
15/16,Liverpool FC,44,23.9,27,0.22927990337134535
15/16,Tottenham Hotspur,31,24.2,16,0.22686418700486694
15/16,Everton FC,39,26.1,22,0.1401825997371132
15/16,Southampton FC,35,25.6,20,0.12288180752424596
15/16,West Ham United,50,24.7,28,0.10570890617783935
15/16,Newcastle United,42,25.2,28,0.10334292514831789
15/16,Leicester City,35,27.3,21,0.07712529752389072
15/16,Stoke City,31,27.9,24,0.06710717965114213
15/16,Swansea City,36,26.4,27,0.066254573874738
15/16,Watford FC,39,27.8,35,0.060002131514441004
15/16,Crystal Palace,38,27.2,20,0.05907847525666986
15/16,Aston Villa,44,25.1,24,0.04646701481402536
15/16,Norwich City,41,27.0,23,0.04572098475967175
