match_id	home_total_shots	home_shots_off_target	home_shots_saved	home_corners	home_free_kicks	home_offsides	home_fouls	away_total_shots	away_shots_off_target	away_shots_saved	away_corners	away_free_kicks	away_offsides	away_fouls	home_yellow_cards	home_red_cards	away_yellow_cards	away_red_cards
3050176	4.0	5.0	3.0	3.0	10.0	7.0	2.0	5.0	1.0	2.0	6.0	9.0	7.0	3.0	0.0	0.0	1.0	1.0
3050173	2.0	8.0	4.0	3.0	12.0	11.0	1.0	6.0	6.0	1.0	5.0	12.0	12.0	0.0	2.0	0.0	2.0	0.0
3050175	5.0	7.0	1.0	8.0	19.0	13.0	0.0	1.0	6.0	2.0	2.0	13.0	16.0	3.0	2.0	0.0	2.0	0.0
3050171	8.0	4.0	2.0	5.0	12.0	14.0	5.0	2.0	2.0	4.0	4.0	19.0	9.0	3.0	1.0	0.0	2.0	0.0
3050170	2.0	4.0	1.0	2.0	9.0	8.0	2.0	4.0	2.0	2.0	5.0	10.0	8.0	1.0	2.0	0.0	1.0	0.0
3050172	6.0	1.0	3.0	2.0	9.0	11.0	4.0	4.0	4.0	4.0	5.0	15.0	7.0	2.0	2.0	0.0	1.0	0.0
3050174	3.0	7.0	6.0	8.0	15.0	12.0	2.0	6.0	5.0	3.0	5.0	14.0	11.0	4.0	0.0	0.0	1.0	0.0
3050167	3.0	5.0	7.0	2.0	15.0	11.0	7.0	9.0	4.0	3.0	9.0	18.0	13.0	2.0	2.0	0.0	2.0	0.0
3050168	3.0	6.0	1.0	7.0	10.0	12.0	0.0	1.0	3.0	0.0	4.0	12.0	8.0	2.0	1.0	0.0	1.0	0.0
3050169	6.0	3.0	7.0	5.0	14.0	8.0	2.0	9.0	0.0	6.0	5.0	10.0	11.0	3.0	1.0	0.0	2.0	0.0
3050179	1.0	7.0	6.0	5.0	16.0	13.0	2.0	5.0	1.0	1.0	5.0	15.0	16.0	0.0	2.0	0.0	2.0	1.0
3050183	2.0	2.0	2.0	1.0	8.0	10.0	0.0	2.0	8.0	1.0	9.0	10.0	7.0	1.0	2.0	1.0	1.0	0.0
3050185	12.0	9.0	2.0	5.0	8.0	9.0	1.0	3.0	6.0	9.0	2.0	10.0	5.0	3.0	0.0	0.0	0.0	0.0
3050182	6.0	1.0	2.0	2.0	23.0	7.0	2.0	3.0	5.0	4.0	5.0	9.0	21.0	2.0	0.0	0.0	5.0	0.0
3050180	11.0	6.0	5.0	5.0	11.0	12.0	3.0	7.0	6.0	8.0	1.0	15.0	8.0	3.0	0.0	0.0	2.0	0.0
3050184	14.0	10.0	0.0	10.0	5.0	9.0	1.0	1.0	3.0	9.0	3.0	10.0	4.0	1.0	0.0	0.0	2.0	0.0
3050186	4.0	4.0	4.0	6.0	9.0	15.0	1.0	6.0	5.0	4.0	4.0	16.0	9.0	0.0	6.0	0.0	2.0	0.0
3050181	3.0	5.0	4.0	6.0	15.0	5.0	2.0	6.0	4.0	3.0	7.0	7.0	13.0	2.0	1.0	1.0	1.0	0.0
3050177	3.0	3.0	1.0	3.0	14.0	15.0	2.0	3.0	5.0	0.0	5.0	17.0	12.0	2.0	1.0	0.0	1.0	0.0
3050178	3.0	4.0	3.0	5.0	22.0	9.0	2.0	6.0	1.0	2.0	2.0	11.0	18.0	4.0	1.0	0.0	2.0	0.0
3050190	1.0	2.0	4.0	7.0	7.0	8.0	1.0	4.0	7.0	1.0	7.0	9.0	7.0	0.0	0.0	1.0	1.0	0.0
3050196	2.0	6.0	4.0	5.0	11.0	14.0	4.0	6.0	6.0	1.0	9.0	18.0	8.0	3.0	1.0	0.0	2.0	0.0
3050187	10.0	2.0	4.0	7.0	16.0	16.0	3.0	5.0	5.0	8.0	2.0	19.0	13.0	3.0	1.0	0.0	3.0	0.0
3050188	5.0	10.0	1.0	6.0	10.0	12.0	5.0	3.0	6.0	3.0	2.0	17.0	10.0	0.0	0.0	1.0	3.0	1.0
3050194	5.0	4.0	3.0	10.0	10.0	14.0	1.0	5.0	3.0	4.0	3.0	15.0	10.0	0.0	2.0	0.0	1.0	0.0
3050191	8.0	6.0	2.0	8.0	15.0	8.0	1.0	2.0	2.0	6.0	5.0	9.0	12.0	3.0	1.0	0.0	1.0	0.0
3050195	5.0	4.0	2.0	6.0	14.0	14.0	1.0	3.0	5.0	3.0	3.0	15.0	11.0	3.0	4.0	0.0	2.0	0.0
3050189	12.0	10.0	0.0	6.0	12.0	10.0	1.0	2.0	4.0	8.0	4.0	11.0	7.0	5.0	2.0	0.0	1.0	0.0
3050192	5.0	11.0	3.0	5.0	18.0	11.0	2.0	6.0	2.0	5.0	2.0	13.0	17.0	1.0	2.0	0.0	3.0	0.0
3050193	2.0	2.0	2.0	4.0	10.0	15.0	2.0	3.0	7.0	1.0	5.0	17.0	8.0	2.0	3.0	0.0	1.0	0.0
3050203	5.0	3.0	2.0	4.0	14.0	9.0	3.0	4.0	4.0	4.0	4.0	12.0	12.0	2.0	3.0	0.0	2.0	0.0
3050197	4.0	5.0	3.0	7.0	18.0	12.0	2.0	5.0	3.0	2.0	1.0	14.0	14.0	4.0	3.0	0.0	3.0	0.0
3050201	6.0	7.0	3.0	7.0	13.0	10.0	0.0	5.0	6.0	6.0	4.0	10.0	12.0	1.0	1.0	0.0	1.0	0.0
