Season	Club	Squad	Average age	Foreigners	Average market value	Total market value
14/15	Chelsea FC	38	25.4	28	€14.66m	€557.25m
14/15	Manchester United	43	25.4	26	€11.75m	€505.40m
14/15	Manchester City	34	27.1	27	€13.18m	€448.25m
14/15	Arsenal FC	42	24.5	29	€9.88m	€414.75m
14/15	Liverpool FC	35	24.8	21	€9.28m	€324.85m
14/15	Tottenham Hotspur	42	25.2	25	€7.24m	€304.15m
14/15	Southampton FC	37	25.1	20	€5.68m	€210.25m
14/15	Everton FC	40	25.7	22	€4.57m	€182.85m
14/15	Newcastle United	42	24.4	28	€3.33m	€140.00m
14/15	West Ham United	36	26.2	21	€3.78m	€135.90m
14/15	Swansea City	36	25.8	26	€3.63m	€130.75m
14/15	Hull City	35	27.5	25	€3.35m	€117.10m
14/15	Aston Villa	38	25.9	20	€3.01m	€114.25m
14/15	Queens Park Rangers	41	26.6	25	€2.74m	€112.25m
14/15	Stoke City	30	28.0	23	€3.68m	€110.50m
14/15	Crystal Palace	42	27.6	26	€2.32m	€97.25m
14/15	West Bromwich Albion	34	27.0	23	€2.82m	€95.95m
14/15	Sunderland AFC	34	26.3	20	€2.68m	€91.00m
14/15	Leicester City	37	27.4	19	€1.80m	€66.70m
14/15	Burnley FC	30	27.0	13	€1.75m	€52.55m
15/16	Chelsea FC	40	25.2	31	€13.84m	€553.50m
15/16	Manchester City	38	25.9	27	€13.14m	€499.35m
15/16	Arsenal FC	41	25.2	29	€11.17m	€457.85m
15/16	Manchester United	44	24.1	27	€10.00m	€439.85m
15/16	Liverpool FC	44	23.9	27	€8.53m	€375.25m
15/16	Tottenham Hotspur	31	24.2	16	€12.00m	€371.85m
15/16	Everton FC	39	26.1	22	€6.41m	€249.85m
15/16	Southampton FC	35	25.6	20	€6.44m	€225.50m
15/16	West Ham United	50	24.7	28	€4.03m	€201.33m
15/16	Newcastle United	42	25.2	28	€4.71m	€198.00m
15/16	Leicester City	35	27.3	21	€4.60m	€161.10m
15/16	Stoke City	31	27.9	24	€4.74m	€147.00m
15/16	Swansea City	36	26.4	27	€4.05m	€145.80m
15/16	Watford FC	39	27.8	35	€3.51m	€137.00m
15/16	Crystal Palace	38	27.2	20	€3.57m	€135.70m
15/16	Aston Villa	44	25.1	24	€2.68m	€117.95m
15/16	Norwich City	41	27.0	23	€2.85m	€116.90m
15/16	West Bromwich Albion	35	26.9	22	€3.23m	€113.10m
15/16	Sunderland AFC	42	27.0	27	€2.65m	€111.25m
15/16	AFC Bournemouth	49	25.6	22	€2.04m	€99.90m
16/17	Chelsea FC	49	25.4	41	€14.01m	€686.70m
16/17	Manchester City	35	26.9	29	€16.47m	€576.50m
16/17	Tottenham Hotspur	38	24.1	20	€14.31m	€543.65m
16/17	Arsenal FC	42	25.3	26	€12.90m	€542.00m
16/17	Manchester United	42	25.0	26	€12.65m	€531.45m
16/17	Liverpool FC	38	24.9	24	€11.20m	€425.65m
16/17	Everton FC	39	26.4	26	€7.98m	€311.25m
16/17	West Ham United	44	25.1	29	€6.21m	€273.05m
16/17	Southampton FC	36	25.9	19	€7.33m	€263.75m
16/17	Crystal Palace	45	26.6	26	€5.08m	€228.43m
16/17	Leicester City	31	27.1	22	€7.05m	€218.65m
16/17	Stoke City	34	27.7	27	€5.47m	€186.00m
16/17	Watford FC	46	27.3	37	€3.82m	€175.65m
16/17	Swansea City	37	27.4	28	€4.25m	€157.10m
16/17	Hull City	42	26.5	24	€3.23m	€135.85m
16/17	Sunderland AFC	42	25.8	27	€3.14m	€132.00m
16/17	AFC Bournemouth	41	24.8	16	€3.21m	€131.60m
16/17	Middlesbrough FC	35	27.9	21	€3.68m	€128.80m
16/17	West Bromwich Albion	30	27.7	18	€4.11m	€123.20m
16/17	Burnley FC	36	27.2	15	€2.98m	€107.18m
17/18	Manchester City	32	25.5	22	€31.53m	€1.01bn
17/18	Chelsea FC	46	25.3	33	€19.22m	€884.25m
17/18	Liverpool FC	35	25.4	21	€24.50m	€857.50m
17/18	Manchester United	35	26.6	23	€24.27m	€849.50m
17/18	Tottenham Hotspur	34	25.2	22	€24.40m	€829.60m
17/18	Arsenal FC	45	25.4	27	€15.42m	€694.00m
17/18	Everton FC	48	25.4	31	€7.94m	€381.25m
17/18	Leicester City	34	27.0	22	€8.95m	€304.25m
17/18	Southampton FC	29	26.4	16	€10.24m	€297.00m
17/18	West Ham United	41	25.7	25	€6.36m	€260.60m
17/18	Crystal Palace	41	26.3	23	€5.38m	€220.73m
17/18	Newcastle United	37	25.9	26	€5.63m	€208.28m
17/18	Watford FC	37	27.4	28	€5.30m	€196.00m
17/18	Stoke City	35	26.8	27	€5.50m	€192.45m
17/18	Burnley FC	30	28.3	16	€5.64m	€169.30m
17/18	West Bromwich Albion	33	27.0	17	€5.03m	€165.95m
17/18	Swansea City	36	26.8	25	€4.60m	€165.49m
17/18	Brighton & Hove Albion	39	27.3	27	€3.80m	€148.20m
17/18	AFC Bournemouth	35	26.4	14	€4.13m	€144.50m
17/18	Huddersfield Town	35	26.1	19	€3.03m	€106.05m
18/19	Manchester City	47	24.6	36	€25.61m	€1.20bn
18/19	Liverpool FC	39	25.2	25	€30.06m	€1.17bn
18/19	Chelsea FC	54	26.2	40	€21.60m	€1.17bn
18/19	Tottenham Hotspur	34	26.0	20	€26.43m	€898.60m
18/19	Manchester United	36	25.9	23	€22.16m	€797.60m
18/19	Arsenal FC	42	25.4	28	€15.69m	€659.05m
18/19	Everton FC	40	26.6	29	€13.23m	€529.10m
18/19	Leicester City	37	26.9	27	€11.73m	€434.10m
18/19	West Ham United	37	27.1	24	€9.70m	€359.00m
18/19	AFC Bournemouth	37	26.2	17	€8.38m	€310.00m
18/19	Southampton FC	40	25.5	19	€7.64m	€305.40m
18/19	Wolverhampton Wanderers	40	24.5	26	€7.57m	€302.90m
18/19	Crystal Palace	36	26.9	21	€8.03m	€289.00m
18/19	Fulham FC	33	26.2	26	€7.70m	€254.25m
18/19	Newcastle United	37	26.6	24	€6.61m	€244.65m
18/19	Watford FC	39	26.7	32	€6.13m	€239.10m
18/19	Burnley FC	33	28.6	14	€5.98m	€197.25m
18/19	Brighton & Hove Albion	41	26.3	29	€4.74m	€194.35m
18/19	Huddersfield Town	33	25.8	21	€4.17m	€137.45m
18/19	Cardiff City	35	27.8	21	€3.23m	€113.00m
19/20	Manchester City	35	25.4	25	€29.96m	€1.05bn
19/20	Liverpool FC	56	23.8	32	€17.90m	€1.00bn
19/20	Tottenham Hotspur	36	25.3	22	€22.41m	€806.80m
19/20	Chelsea FC	36	24.7	23	€19.61m	€705.85m
19/20	Manchester United	43	24.4	26	€15.59m	€670.45m
19/20	Arsenal FC	38	24.8	24	€15.99m	€607.65m
19/20	Everton FC	35	26.5	22	€12.02m	€420.55m
